cell,variant,replica,completed,delivered_bytes,fct_us,goodput_bps,retransmits,rto_events,drops,ce_marks,qdelay_p50_us,qdelay_p95_us,qdelay_p99_us
rtt5_loss0_bw10,edgecc,0,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc,1,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc,2,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_probe,0,true,4194304,5497824,762902,204,9,171,0,1168,3008,3136
rtt5_loss0_bw10,edgecc_no_probe,1,true,4194304,5497824,762902,204,9,171,0,1168,3008,3136
rtt5_loss0_bw10,edgecc_no_probe,2,true,4194304,5497824,762902,204,9,171,0,1168,3008,3136
rtt5_loss0_bw10,edgecc_no_utility,0,true,4194304,5231780,801697,268,8,233,0,1168,3008,3328
rtt5_loss0_bw10,edgecc_no_utility,1,true,4194304,5231780,801697,268,8,233,0,1168,3008,3328
rtt5_loss0_bw10,edgecc_no_utility,2,true,4194304,5231780,801697,268,8,233,0,1168,3008,3328
rtt5_loss0_bw10,edgecc_no_belief,0,true,4194304,3713460,1129486,47,2,36,0,1168,3008,3008
rtt5_loss0_bw10,edgecc_no_belief,1,true,4194304,3713460,1129486,47,2,36,0,1168,3008,3008
rtt5_loss0_bw10,edgecc_no_belief,2,true,4194304,3713460,1129486,47,2,36,0,1168,3008,3008
rtt5_loss0_bw10,edgecc_no_plateau,0,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_plateau,1,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_plateau,2,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_prand,0,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_prand,1,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_no_prand,2,true,4194304,5033504,833277,235,8,198,0,1840,3008,3384
rtt5_loss0_bw10,edgecc_loss_blind,0,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,edgecc_loss_blind,1,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,edgecc_loss_blind,2,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,edgecc_prior,0,true,4194304,3364932,1246475,1,0,1,0,1840,1840,1840
rtt5_loss0_bw10,edgecc_prior,1,true,4194304,3364932,1246475,1,0,1,0,1840,1840,1840
rtt5_loss0_bw10,edgecc_prior,2,true,4194304,3364932,1246475,1,0,1,0,1840,1840,1840
rtt5_loss0_bw10,bbr3ref,0,true,4194304,4205168,997416,189,7,102,0,1840,3008,3008
rtt5_loss0_bw10,bbr3ref,1,true,4194304,4205168,997416,189,7,102,0,1840,3008,3008
rtt5_loss0_bw10,bbr3ref,2,true,4194304,4205168,997416,189,7,102,0,1840,3008,3008
rtt5_loss0_bw10,lossblindref,0,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,lossblindref,1,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,lossblindref,2,true,4194304,4821028,870001,187,7,157,0,1168,3008,3360
rtt5_loss0_bw10,cubicref,0,true,4194304,3394437,1235640,59,0,59,0,1840,3008,3008
rtt5_loss0_bw10,cubicref,1,true,4194304,3394437,1235640,59,0,59,0,1840,3008,3008
rtt5_loss0_bw10,cubicref,2,true,4194304,3394437,1235640,59,0,59,0,1840,3008,3008
rtt5_loss0_bw10,newrenoref,0,true,4194304,5514437,760604,48,0,48,0,1168,3008,3008
rtt5_loss0_bw10,newrenoref,1,true,4194304,5514437,760604,48,0,48,0,1168,3008,3008
rtt5_loss0_bw10,newrenoref,2,true,4194304,5514437,760604,48,0,48,0,1168,3008,3008
rtt5_loss0_bw100,edgecc,0,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc,1,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc,2,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_probe,0,true,4194304,1058287,3963295,769,1,706,0,3371,3371,3956
rtt5_loss0_bw100,edgecc_no_probe,1,true,4194304,1058287,3963295,769,1,706,0,3371,3371,3956
rtt5_loss0_bw100,edgecc_no_probe,2,true,4194304,1058287,3963295,769,1,706,0,3371,3371,3956
rtt5_loss0_bw100,edgecc_no_utility,0,true,4194304,1041521,4027094,1606,1,1565,0,2084,3882,3939
rtt5_loss0_bw100,edgecc_no_utility,1,true,4194304,1041521,4027094,1606,1,1565,0,2084,3882,3939
rtt5_loss0_bw100,edgecc_no_utility,2,true,4194304,1041521,4027094,1606,1,1565,0,2084,3882,3939
rtt5_loss0_bw100,edgecc_no_belief,0,true,4194304,1029488,4074165,2593,1,2593,0,3371,3956,3969
rtt5_loss0_bw100,edgecc_no_belief,1,true,4194304,1029488,4074165,2593,1,2593,0,3371,3956,3969
rtt5_loss0_bw100,edgecc_no_belief,2,true,4194304,1029488,4074165,2593,1,2593,0,3371,3956,3969
rtt5_loss0_bw100,edgecc_no_plateau,0,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_plateau,1,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_plateau,2,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_prand,0,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_prand,1,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_no_prand,2,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_loss_blind,0,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_loss_blind,1,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_loss_blind,2,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,edgecc_prior,0,true,4194304,1045803,4010606,1552,1,1507,0,3137,3722,3956
rtt5_loss0_bw100,edgecc_prior,1,true,4194304,1045803,4010606,1552,1,1507,0,3137,3722,3956
rtt5_loss0_bw100,edgecc_prior,2,true,4194304,1045803,4010606,1552,1,1507,0,3137,3722,3956
rtt5_loss0_bw100,bbr3ref,0,true,4194304,1811978,2314765,2168,3,1940,0,3956,3956,3956
rtt5_loss0_bw100,bbr3ref,1,true,4194304,1811978,2314765,2168,3,1940,0,3956,3956,3956
rtt5_loss0_bw100,bbr3ref,2,true,4194304,1811978,2314765,2168,3,1940,0,3956,3956,3956
rtt5_loss0_bw100,lossblindref,0,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,lossblindref,1,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,lossblindref,2,true,4194304,1041777,4026105,924,1,883,0,2786,2786,3978
rtt5_loss0_bw100,cubicref,0,true,4194304,354249,11839988,128,0,128,0,2552,3956,3956
rtt5_loss0_bw100,cubicref,1,true,4194304,354249,11839988,128,0,128,0,2552,3956,3956
rtt5_loss0_bw100,cubicref,2,true,4194304,354249,11839988,128,0,128,0,2552,3956,3956
rtt5_loss0_bw100,newrenoref,0,true,4194304,362044,11585067,89,0,89,0,1918,3956,3956
rtt5_loss0_bw100,newrenoref,1,true,4194304,362044,11585067,89,0,89,0,1918,3956,3956
rtt5_loss0_bw100,newrenoref,2,true,4194304,362044,11585067,89,0,89,0,1918,3956,3956
rtt5_loss0_bw1000,edgecc,0,true,4194304,1012728,4141589,2034,1,2034,0,3396,4104,4104
rtt5_loss0_bw1000,edgecc,1,true,4194304,1012728,4141589,2034,1,2034,0,3396,4104,4104
rtt5_loss0_bw1000,edgecc,2,true,4194304,1012728,4141589,2034,1,2034,0,3396,4104,4104
rtt5_loss0_bw1000,edgecc_no_probe,0,true,4194304,1016737,4125259,2079,1,2079,0,3528,4104,4104
rtt5_loss0_bw1000,edgecc_no_probe,1,true,4194304,1016737,4125259,2079,1,2079,0,3528,4104,4104
rtt5_loss0_bw1000,edgecc_no_probe,2,true,4194304,1016737,4125259,2079,1,2079,0,3528,4104,4104
rtt5_loss0_bw1000,edgecc_no_utility,0,true,4194304,1032680,4061571,2085,1,2085,0,3456,4104,4104
